frame,energy_per_atom,REF_energy_per_atom,volume,lattice
93,,-696.982697009,252.846252649,2.958494 -0.682807 0 -0.96145 8.141105 0 0 0 10.792055
94,,-696.976065476,153.899208394,3.70152 0 0 -1.85076 3.20561 0 0 0 12.970168
95,,-697.322921253,182.047279669,6.372572 0 0 0 6.372572 0 -3.186286 -3.186286 4.482855
96,,-697.53170968,444.546270644,7.779342 -0.035671 0 -2.538276 7.353679 0 0 0 7.783185
97,,-697.489759668,285.121786734,6.449039 0 0 0 6.012449 0.045291 0 -2.919466 7.331337
98,,-697.410892127,273.280078188,7.307879 0.364768 0.268754 3.40982 6.473894 0.268707 3.409789 2.175736 6.103269
99,,-697.226225552,308.419181937,7.750762 0.883626 0.676246 3.567849 6.937258 0.676246 3.567849 2.465297 6.519599
100,,-697.380178924,216.917290031,4.411964 -0.279257 -0.305672 -1.818154 7.163865 -0.087954 -1.818154 -0.733328 7.126775
101,,-697.327029643,172.510604236,4.020632 0 0 -2.010316 3.481969 0 0 0 12.322436
102,,-697.311731404,290.805574219,7.383864 0.571651 0.437489 3.146272 6.704417 0.437489 3.146272 2.173997 6.357227
103,,-697.376347129,350.981509325,4.60847 0 0 0 8.742952 1.314482 0 0.665462 8.811078
104,,-697.267002814,229.126049603,5.7522 0.485157 -0.415338 1.732776 5.50642 -0.415338 2.361215 1.890106 7.169063
105,,-697.065048133,286.553266625,6.115281 0 0 0 6.115281 0 0 0 7.662536
106,,-697.316825046,181.844529771,6.373143 0 0 0 6.373143 0 -3.186571 -3.186571 4.47706
107,,-697.429464738,300.933331687,4.010593 0 0 0 8.430986 -0.049872 0 -2.162984 8.912658
108,,-697.280563645,223.899283399,4.529091 0.415497 0.341868 1.628374 7.232645 0.046504 1.628374 1.438749 7.088252
109,,-697.336997614,236.93283901,4.673769 -0.042201 0 -2.040118 5.418826 0 0 0 9.387105
110,,-697.413295101,264.047078196,7.299319 0.454293 0.334705 3.487404 6.428413 0.334658 3.487373 2.22524 6.040282
111,,-695.827495419,127.067328035,4.552571 0 0 -2.276286 3.942642 0 0 0 7.079292
112,,-697.257296327,286.298643104,2.997818 -1.038191 0 -0.289299 8.742564 0 0 0 11.050474
113,,-697.2944503,404.107962963,6.720341 0 0 0 8.332738 0 0 -4.166369 7.216363
114,,-697.428483404,681.371661742,6.265094 1e-06 1e-06 3.132545 10.428654 1e-06 3.132545 0 10.428654
115,,-697.434667386,216.718499622,4.628484 0.232548 0 -0.235139 4.649538 0 0 0 10.044893
116,,-697.155664122,158.384086222,3.63242 0.000378 0.000311 0.885276 6.666302 0.001364 0.885276 1.285368 6.541209
117,,-697.256811518,587.815250131,9.262031 0 0 4.631015 7.966639 -0.006676 4.631015 0.074932 7.966289
118,,-697.520817871,283.45906307,7.704749 0 0.115304 0 6.543733 0 -2.32156 0 5.587457
119,,-697.499527613,303.902578462,4.557162 0 0 0 6.36509 0 0 0 10.476962
120,,-697.447814313,205.700727308,4.305251 -0.270538 -0.296129 -1.7549 7.088926 -0.308893 -1.7549 -0.946612 7.032227
121,,-697.274775615,226.389283686,4.568865 0.560326 0.461032 1.901223 7.348012 0.235912 1.901223 1.646831 7.164976
122,,-696.299613332,217.933702952,6.735333 0 0 0 6.735333 0 -3.367667 -3.367667 4.804036
123,,-697.23835216,220.233305547,6.060852 -0.144936 -0.128071 0.707166 6.0212 -0.128071 0.707166 0.61399 5.991182
124,,-697.374330216,200.707563918,5.36253 0 0 -2.681265 4.644087 0 0 0 8.059232
125,,-697.415207693,183.309272318,5.860458 -0.431549 -0.484807 -1.03765 5.783985 -0.484807 -1.03765 -1.151602 5.688878
126,,-697.356414987,264.575938491,6.505629 0.100861 0.089125 1.012956 6.427076 0.089125 1.012956 0.879489 6.36724
127,,-697.499122519,390.587171615,8.69622 0 0 4.34811 7.531148 0 4.34811 2.510383 5.963844
128,,-696.316172903,192.24897414,5.131657 0 0 0 6.577152 0 0 -3.288576 5.695981
129,,-697.31374706,224.343504485,4.70399 0.604228 0.497154 2.00317 7.229127 0.213167 2.00317 1.601614 7.052698
130,,-697.264130764,590.006017347,9.237787 0 0 4.618893 7.995999 0.183791 4.618893 0.26569 7.993697
131,,-697.564415051,283.60230696,4.579521 0 0 0 7.932644 0.291658 0 -1.7514 7.742383
132,,-697.430819646,214.590299803,4.596747 0.235162 0 -0.22408 4.636483 0 0 0 10.043807
133,,-697.490926108,241.937254475,7.010122 -0.156392 -0.203729 -3.514281 5.506741 0.372092 -1.759998 -1.69754 6.322624
134,,-697.311621683,331.663349577,4.560971 0 0 0 6.972693 0 0 0 10.428927
135,,-697.488788669,278.615286293,4.500944 -0.348022 0.025291 -1.953242 4.062413 0.24887 -0.162649 -1.059374 15.753861
136,,-697.335521697,405.244868253,5.426801 0 0 0 5.425652 0 0 0 13.763272
137,,-697.235807779,172.289188573,6.259205 0 0 0 6.259205 0 -3.129602 -3.129602 4.39764
138,,-697.351047003,165.787087283,3.986812 0 0 0 5.038688 0 -1.993406 0 8.252917
139,,-697.541942892,280.30806432,7.32591 0 0.145414 0 6.49889 0 -2.146777 0 5.844941
140,,-697.380240087,237.963219159,5.756628 0.458599 -0.438091 1.707832 5.516556 -0.438091 2.389357 1.912633 7.402324
141,,-697.372112361,256.728094867,6.392941 -0.61524 -0.472014 1.657695 6.204858 -0.472014 1.657695 1.15095 6.115421
142,,-697.30183741,320.264637397,4.533491 0 0 0 7.08559 0 0 0 9.970116
143,,-696.700933477,379.384361551,5.70055 0 0 0 7.91756 0 0 0 8.40565
144,,-697.324358099,338.220134156,4.535504 0 0 0 8.727643 0.13669 0 -2.048093 8.512232
145,,-697.521306275,266.904056259,6.887679 0 0.156695 0 6.398492 0 -1.980517 0 6.011205
