frame,atom,fx,fy,fz,REF_fx,REF_fy,REF_fz
7,2,0.56914232,-12.35856259,-0.00494483,0.23294,-12.05088,-0.00536
7,3,-0.56914231,12.3585626,-0.00494787,-0.23288,12.05082,-0.00537
7,4,-3.61e-06,-8.58e-06,0.0098927,-1e-05,0.0,0.00582
7,5,3.61e-06,8.58e-06,0.0098927,0.0,2e-05,0.01567
8,0,2.75443601,7.71312051,-1.67812882,2.45623,7.97604,-1.52035
8,1,-2.75443601,-7.71312051,-1.67812882,-2.45623,-7.97604,-1.52035
8,2,4.51404654,-12.10177604,10.9825814,3.87818,-12.08255,10.59833
8,3,-4.51404654,12.10177604,10.9825814,-3.87818,12.08255,10.59833
8,4,0.29765364,4.13694834,-9.3761923,-0.07654,4.17,-9.54667
8,5,-0.29765364,-4.13694834,-9.3761923,0.07653,-4.17001,-9.54667
8,6,2.26208567,-4.14922287,3.23041669,2.20827,-4.5484,2.78417
8,7,-2.26208567,4.14922287,3.23041669,-2.20826,4.54841,2.78417
8,8,-3.94779558,11.95068546,-11.75967621,-3.6555,11.97947,-11.46677
8,9,3.94779558,-11.95068546,-11.75967621,3.6555,-11.97947,-11.46676
8,10,-1.29014673,-0.76162874,0.43283015,-1.24768,-0.7104,0.48066
8,11,1.29014673,0.76162874,0.43283015,1.24768,0.7104,0.48066
8,12,0.19761425,-0.33074476,8.16816908,0.44949,-0.16711,8.67062
8,13,-0.19761425,0.33074476,8.16816908,-0.44948,0.1671,8.67062
9,0,3.11262909,-9.72724858,-1.33891628,3.32587,-9.76329,-1.28085
9,1,3.11262909,-9.72724858,1.33891628,3.32587,-9.76329,1.28084
9,2,-4.05611987,4.86405027,-6.79118159,-4.10852,5.46086,-6.90469
9,3,-4.05611987,4.86405027,6.79118159,-4.10851,5.46086,6.90469
9,4,5.38894389,-3.10399093,-3.503344,5.22829,-3.20783,-2.62498
9,5,5.38894389,-3.10399093,3.503344,5.2283,-3.20782,2.62499
9,6,1.5019349,4.78503471,1.62830431,1.66564,4.1089,1.92397
9,7,1.5019349,4.78503471,-1.62830431,1.66564,4.10891,-1.92397
9,8,-5.947388,3.18215453,-1.85201767,-6.11129,3.40135,-1.80422
9,9,-5.947388,3.18215453,1.85201767,-6.1113,3.40135,1.80422
10,0,0.50369872,-0.16045787,0.77748818,0.25409,-0.10393,0.69
10,1,0.84091019,0.22054267,-0.35802797,0.68745,0.0117,-0.28061
10,2,0.02806045,0.88838421,0.30640824,-0.00736,0.73773,0.08462
10,3,-0.51493567,-1.12759344,-0.15591762,-0.35359,-1.10363,0.16704
10,4,-0.59847786,-0.32421637,-1.04770693,-0.24395,-0.28578,-1.10894
10,5,-1.23685496,-0.17215489,-0.03920678,-1.15735,0.17681,0.01389
10,6,0.97759913,0.67549568,0.51696287,0.82073,0.5671,0.434
11,0,0.02845562,-0.00212703,-0.18069385,0.01491,0.01037,-0.23246
11,1,-0.01606188,-0.02358164,-0.18066791,-0.00609,-0.01872,-0.23243
11,2,-0.01238203,0.02570734,-0.18064556,-0.02076,0.01512,-0.23218
11,3,0.02322269,-0.05392786,0.18066823,0.01795,-0.05249,0.23253
11,4,-0.05831988,0.00684068,0.18069388,-0.04672,0.01032,0.23237
11,5,0.03508548,0.0470885,0.18064521,0.04071,0.0354,0.23217
12,0,0.22918798,0.11714025,0.23728252,0.03521,0.06626,0.19809
12,1,-0.22918793,-0.25540229,-0.06924252,-0.03522,-0.20712,-0.02689
12,2,-0.21873297,0.52557905,-0.12380127,-0.27084,0.57867,-0.02656
12,3,0.21873269,0.02024904,-0.53958328,0.27085,-0.08538,-0.57292
12,4,0.24325443,-0.2750482,0.18903569,0.32864,-0.33415,0.0842
12,5,-0.2432542,-0.13251785,0.30630886,-0.32864,-0.01827,0.34409
13,0,-0.01102719,0.00224201,-1.41410144,-0.0069,-0.16964,-1.0761
13,1,-0.01102757,1.22353552,0.7089767,-0.0046,1.01829,0.39218
13,2,-0.01102754,-1.22576728,0.70511533,-0.00646,-0.84727,0.68343
13,3,-0.00692422,-0.8994467,0.24957669,-0.01738,-0.92628,-0.06049
13,4,-0.00692693,0.23358637,-0.90373063,-0.01568,0.51583,-0.77161
13,5,-0.00692307,0.6658636,0.6541554,-0.01629,0.41019,0.83207
13,6,0.05385651,-1.352e-05,7.96e-06,0.06732,-0.00112,0.00053
14,0,-0.11341475,-0.06467174,0.20175453,-0.2875,-0.16526,0.24919
14,1,0.1127121,-0.06588627,0.2017539,0.28811,-0.16407,0.24971
14,2,0.00069581,0.13055359,0.20175232,0.00323,0.33151,0.24976
14,3,0.00074298,-0.12907948,-0.13947746,0.00337,-0.41123,-0.18981
14,4,0.11141485,0.06518498,-0.13948179,0.35669,0.20963,-0.19007
14,5,-0.11215947,0.06389722,-0.13948113,-0.35754,0.20312,-0.18976
14,6,0.11663353,-0.06811858,0.14515596,0.36259,-0.20774,0.19521
14,7,0.00067336,0.13506242,0.1451498,-0.00191,0.41791,0.19525
14,8,-0.11730895,-0.06695349,0.14515718,-0.36322,-0.21169,0.19551
14,9,-0.11446461,0.06570479,-0.20742995,-0.28927,0.16352,-0.25515
14,10,0.00034546,-0.13199315,-0.20742668,-0.00215,-0.33226,-0.2552
14,11,0.11412969,0.06629971,-0.20742667,0.28761,0.16656,-0.25463
15,0,-0.04081798,-0.03766882,-0.73979631,-0.04358,-0.03765,-0.8904
15,1,0.04081798,0.03766882,-0.73979631,0.04358,0.03766,-0.89039
15,2,0.03766882,-0.04081798,-0.73979631,0.03766,-0.04358,-0.89039
15,3,-0.03766882,0.04081798,-0.73979631,-0.03766,0.04358,-0.8904
15,4,-0.04222331,-0.04382662,0.75171182,-0.04301,-0.04567,0.90341
15,5,0.04222331,0.04382662,0.75171182,0.04301,0.04567,0.90341
15,6,0.04382662,-0.04222331,0.75171182,0.04566,-0.04301,0.90341
15,7,-0.04382662,0.04222331,0.75171182,-0.04566,0.04301,0.90341
15,8,0.0,-0.0,-0.02383101,-0.0,-0.0,-0.02603
15,9,0.0,0.0,-0.02383101,0.0,0.0,-0.02603
16,0,-0.00244046,-0.05600588,-1.19903256,-0.02499,-0.12513,-1.34798
16,1,0.00244046,-0.05600588,1.19903256,0.02499,-0.12512,1.34791
16,2,0.00244046,-0.05600588,-1.19903256,0.02499,-0.12512,-1.34798
16,3,-0.00244046,-0.05600588,1.19903256,-0.02499,-0.12515,1.34791
16,4,0.00244046,0.05600588,1.19903256,0.025,0.12513,1.34799
16,5,-0.00244046,0.05600588,-1.19903256,-0.02499,0.12514,-1.34793
16,6,-0.00244046,0.05600588,1.19903256,-0.02498,0.12513,1.348
16,7,0.00244046,0.05600588,-1.19903256,0.02499,0.12512,-1.34793
17,0,-0.03632166,-0.58598075,-0.08209269,-0.04795,-0.85164,-0.10142
17,1,-0.03634722,-0.02893879,-0.59099302,-0.04795,-0.02424,-0.85731
17,2,0.00387412,-0.31801352,0.28681447,0.00256,-0.50217,0.45582
17,3,0.00387757,0.31431174,-0.2908664,0.00256,0.49925,-0.45903
17,4,0.03245653,0.02792557,0.59563734,0.04539,0.02278,0.8616
17,5,0.03246065,0.59069575,0.08150031,0.0454,0.85603,0.10033
18,0,-0.03558207,-0.07838879,-0.6727508,-0.00164,-0.27816,-0.48926
18,1,-0.03558246,-0.66294642,-0.13870965,-0.00163,-0.4622,-0.32112
18,2,0.08406922,-0.35740656,0.35773063,0.07369,-0.30654,0.29882
18,3,0.08406898,0.38849009,-0.32370682,0.07369,0.32524,-0.27836
18,4,-0.04848658,0.6038783,0.16146262,-0.07206,0.39521,0.36356
18,5,-0.04848709,0.10637337,0.61597402,-0.07206,0.32645,0.42636
